MessageProcessed,Tags
porque não foi feito o pagamento ?,CONJ ADV VERB ADJ ART SUBS PON
"preço , hoje tenho NUMBER giga por NUMBER",SUBS PON ADV VERB NUM SUBS PREP NUM
bom dia ! estou tentando marcar uma consulta e não consigo .,ADJ SUBS PON VERB VERB VERB ART SUBS CONJ ADV VERB PON
posso colocar conta em débito automatico ?,VERB VERB VERB PREP SUBS ADJ PON
qual número eu falo com um consultor ?,INT SUBS PRON VERB PREP ART SUBS PON
queria NUMBER via de um boleto,VERB NUM SUBS PREP ART SUBS
não recebi a senha do cartão conta,ADV VERB ART SUBS PREP SUBS VERB
quero atualizar o boleto do mês NUMBER,VERB VERB ART SUBS PREP SUBS NUM
"meu problema é sobre o cartão , queria pedir outro pois perdi o meu ! :",PRON SUBS VERB PREP ART SUBS PON VERB VERB PRON CONJ VERB ART PRON PON PON
foi aprovado o pacote NUMBER gb,VERB VERB ART SUBS NUM SUBS
paguei em duplicidade uma fatura de NUMBER consigo o ressarcimento ?,VERB PREP SUBS ART SUBS PREP NUM VERB ART SUBS PON
mas eu queria outro número com ddd NUMBER,CONJ PRON VERB PRON SUBS PREP SUBS NUM
olá ! gostaria de informações sobre um financiamento,INT PON VERB PREP SUBS PREP ART SUBS
e com muita preguiça de ir pegar .,CONJ PREP PRON SUBS PREP VERB VERB PON
"olá , gostaria de excluir uma proposta",INT PON VERB PREP VERB ART SUBS
e tenho um valor disponível de NUMBER e não consigo tranferir,CONJ VERB ART SUBS ADJ PREP NUM CONJ ADV VERB VERB
você consegue cancelar pra mim as recargas,PRON VERB VERB PREP PRON ART SUBS
"não , agora é o DDD NUMBER PHONE",ADV PON ADV VERB ART SUBS NUM SUBS
chegou uma carta de cobrança mais estou em dia com vocês ?,VERB ART SUBS PREP SUBS ADV VERB PREP SUBS PREP PRON PON
tentei passar hoje o cartão e não consegui,VERB VERB ADV ART SUBS CONJ ADV VERB
quero receber pelo e-mail EMAIL,VERB VERB PREP SUBS SUBS
tem alguma com mais opções de lugares ?,VERB PRON PREP ADV SUBS PREP SUBS PON
esse valor de NUMBER vocês parcela ?,PRON SUBS PREP NUM PRON SUBS PON
as NUMBER estão em andamentos ?,ART NUM VERB PREP SUBS PON
pelo amor de deus . . .,PREP SUBS PREP SUBS PON PON PON
"pelo amor de deus , me diz",PREP SUBS PREP SUBS PON PRON VERB
chácara no meu endereço ?,SUBS PREP PRON SUBS PON
bom dia gostaria de consultar meu pedido,ADJ SUBS VERB PREP VERB PRON SUBS
"me desculpe , não é verdade",PRON INT PON ADV VERB SUBS
negociação de quitação do contrato,SUBS PREP SUBS PREP SUBS
gostaria do cod de barras da parcela com o vencimento DATE cpf NUMBER contrato NUMBER,VERB PREP SUBS PREP SUBS PREP SUBS PREP ART SUBS SUBS SUBS NUM SUBS NUM
mas a outra proposta era ordem de pagamento,CONJ ART PRON SUBS VERB SUBS PREP SUBS
eu perdi a data da cotacao e agora ?,PRON VERB ART SUBS PREP SUBS CONJ ADV PON
ele não funciona na função debito ?,PRON ADV VERB PREP SUBS VERB PON
coloco algum assunto específico ?,VERB PRON SUBS ADJ PON
o da cristiane é PHONE,ART PREP SUBS VERB SUBS
queria fazer no barro preto o curso .,VERB VERB PREP SUBS ADJ ART SUBS PON
bom dia gostaria de tirar algumas dúvidas ? ? ?,ADJ SUBS VERB PREP VERB PRON SUBS PON PON PON
fico sem sinal pra receber os pagamentos,VERB PREP SUBS PREP VERB ART SUBS
em entrada vou dar o meu,PREP SUBS VERB VERB ART PRON
fiz exatamente esse procedimento as outras NUMBER vezes . . .,VERB SUBS PRON SUBS ART PRON NUM SUBS PON PON PON
bom dia ! eu posso mudar o meu e-mail da minha conta pagseguro ?,ADJ SUBS PON PRON VERB VERB ART PRON SUBS PREP PRON VERB SUBS PON
"favor me mandar o valor do exame ,",SUBS PRON VERB ART SUBS PREP SUBS PON
"olá amanda , não obrigada pelas informações",INT SUBS PON ADV ADJ SUBS SUBS
NUMBER ou NUMBER com débito em conta com NUMBER gb de internet,NUM CONJ NUM PREP SUBS PREP VERB PREP NUM SUBS PREP SUBS
"eu quero comprar no boleto ,",PRON VERB VERB PREP SUBS PON
tem desconto ao pagar o financiamento por completo ?,VERB SUBS PREP VERB ART SUBS PREP ADJ PON
eliza soares de melo ribeiro,SUBS SUBS PREP SUBS SUBS
"eu errei ao colocar no carrinho , era CODE",PRON VERB PREP VERB PREP SUBS PON VERB SUBS
estava com código NUMBER ontem,VERB PREP SUBS NUM ADV
quantos megas eu tenho ?,PRON SUBS PRON VERB PON
talita estou com um pagamento pendente,SUBS VERB PREP ART SUBS ADJ
rua flórida NUMBER bairro vila bandeirantes cep NUMBER,INT SUBS NUM SUBS SUBS SUBS SUBS NUM
e o cartão não é grátis,CONJ ART SUBS ADV VERB ADJ
cpf NUMBER não do cliente NUMBER,SUBS NUM ADV PREP SUBS NUM
você sabe me informar qual agência funciona domingo ?,PRON VERB PRON VERB INT SUBS VERB SUBS PON
olá estou com dificuldade em mudar o endereço .,INT VERB PREP SUBS PREP VERB ART SUBS PON
referente a linha de crédito a alguma disponível ?,ADJ ART SUBS PREP SUBS ART PRON ADJ PON
eu paguei pelo app santander,PRON VERB PREP SUBS SUBS
o chip já foi enviado ?,ART SUBS ADV VERB VERB PON
você está falando por qual canal com a transportadora ?,PRON VERB VERB PREP INT SUBS PREP ART SUBS PON
qual o produto em questão ?,INT ART SUBS PREP SUBS PON
não as linhas foram feitas portabilidade a partir do dia NUMBER maio NUMBER,ADV ART SUBS VERB ADJ SUBS ART VERB PREP SUBS NUM SUBS NUM
porque recurso esse cpf NUMBER,CONJ SUBS PRON SUBS NUM
de cara o atendimento está pessimo,PREP ADJ ART SUBS VERB ADJ
"verifiquei , e a senha não bate . gostaria de uma nova senha",VERB PON CONJ ART SUBS ADV VERB PON VERB PREP ART ADJ SUBS
mario lucio oliveira de sousa CPF NUMBER,SUBS SUBS SUBS PREP SUBS SUBS NUM
quero quitar o contrato dia DATE,VERB VERB ART SUBS SUBS SUBS
vai levar mais de NUMBER dias,VERB VERB ADV PREP NUM SUBS
"consigo , lá eu consegui ver o livro",VERB PON ADV PRON VERB VERB ART SUBS
estou com medo de alguém adquirir ele .,VERB PREP SUBS PREP PRON VERB PRON PON
é de outro cnpj NUMBER,VERB PREP PRON SUBS NUM
qual dos NUMBER seria esse atendimento ?,INT PREP NUM VERB PRON SUBS PON
"faz NUMBER meses , tenho maquinas na conta da empresa",VERB NUM SUBS PON VERB SUBS PREP VERB PREP SUBS
NUMBER pedidos meus não foram entregues e já passaram do prazo,NUM SUBS PRON ADV VERB VERB CONJ ADV VERB PREP SUBS
pela cpf pode consultar ?,PREP SUBS VERB VERB PON
pode ser pela internet ? algum site ?,VERB VERB PREP SUBS PON PRON SUBS PON
errei a idade dele ele e de NUMBER,VERB ART SUBS PREP PRON CONJ PREP NUM
"ao colocar o cartão , continua solicitando inserir cartão",PREP VERB ART SUBS PON VERB VERB VERB SUBS
já estou recebendo os boletos ! !,ADV VERB VERB ART SUBS PON PON
o meu e de NUMBER,ART PRON CONJ PREP NUM
eu não quero oferta não quero resolver meu problema,PRON ADV VERB SUBS ADV VERB VERB PRON SUBS
mais eu não contratei meu financiamento com eles,ADV PRON ADV VERB PRON SUBS PREP PRON
bom dia . pagamento está sendo cancelado EMAIL,ADJ SUBS PON SUBS VERB VERB VERB SUBS
ou você consegue transferir meu dinheiro ?,CONJ PRON VERB VERB PRON SUBS PON
ninguém vai me atender ? ? ?,PRON VERB PRON VERB PON PON PON
gostaria de sabe os preços das maquininha,VERB PREP VERB ART SUBS PREP SUBS
mais as NUMBER parcelas não vieram com desconto e sim com juros de NUMBER,ADV ART NUM SUBS ADV VERB PREP SUBS CONJ INT PREP SUBS PREP NUM
"seguinte fernando , eu estou com NUMBER problemas . .",ADJ SUBS PON PRON VERB PREP NUM SUBS PON PON
não consigo acessar minha caixa postal,ADV VERB VERB PRON SUBS ADJ
"o dinheiro está na conta da vitreo , mas o meu pedido de investimento está desde o dia DATE com status solicitado",ART SUBS VERB PREP VERB PREP SUBS PON CONJ ART PRON SUBS PREP SUBS VERB PREP ART SUBS SUBS PREP SUBS VERB
você pode me passar o código ?,PRON VERB PRON VERB ART SUBS PON
porque ele não passou ?,CONJ PRON ADV VERB PON
porque liguei e me deram um prazo curto e não esse,CONJ VERB CONJ PRON VERB ART SUBS ADJ CONJ ADV PRON
vou atras de NUMBER mais eu vou,VERB ADV PREP NUM ADV PRON VERB
bom dia gostaria de mais informações sobre a promoção do iphone MEASURE com a net,ADJ SUBS VERB PREP ADV SUBS PREP ART SUBS PREP SUBS SUBS PREP ART SUBS
tem uma promoção no instagram,VERB ART SUBS PREP SUBS
mas neste link aparece MONEY,CONJ PREP SUBS VERB SUBS
número do cliente NUMBER número de instalação NUMBER,SUBS PREP SUBS NUM SUBS PREP SUBS NUM
por favor podem me mandar fatura cartão final NUMBER,PREP SUBS VERB PRON VERB SUBS SUBS ADJ NUM
"o pagamento da promoção do dia do livro , não pode ser feita no boleto ?",ART SUBS PREP SUBS PREP SUBS PREP SUBS PON ADV VERB VERB ADJ PREP SUBS PON
quero o de MEASURE pois somente NUMBER iriam usar a internet,VERB ART PREP SUBS CONJ ADV NUM VERB VERB ART SUBS
e estou colocando nas redes sociais .,CONJ VERB VERB PREP SUBS ADJ PON
NUMBER andreza lima de oliveira,NUM SUBS SUBS PREP SUBS
agência NUMBER conta poupança NUMBER,SUBS NUM VERB SUBS NUM
cep - NUMBER arcos - mg,SUBS SIMB NUM SUBS SIMB SUBS
já efetuei a alteração . qual o próximo passo ?,ADV VERB ART SUBS PON INT ART ADJ VERB PON
bom dia consulta andamento novo santander cpf CPF,ADJ SUBS SUBS SUBS ADJ SUBS SUBS SUBS
"obrigada , amanhã retornarei pra falar com um atendente",ADJ PON ADV VERB PREP VERB PREP ART SUBS
mas qual o nome da pessoa completo ?,CONJ INT ART SUBS PREP SUBS ADJ PON
mas meu boleto vence dia DATE,CONJ PRON SUBS VERB SUBS SUBS
um NUMBER . e um NUMBER,ART NUM PON CONJ ART NUM
"aluguei meu carro NUMBER km por NUMBER dias quero continuar com o carro , quantos km posso ficar com o carro ?",VERB PRON SUBS NUM SUBS PREP NUM SUBS VERB VERB PREP ART SUBS PON PRON SUBS VERB VERB PREP ART SUBS PON
alguém entra em contato via telefone ?,PRON VERB PREP SUBS SUBS SUBS PON
NUMBER . bloqueado . porque,NUM PON SUBS PON CONJ
pois fica chegando essas mensagem faça NUMBER e ganhe NUMBER mas ligo o aplicativo e não toca,CONJ VERB VERB PRON SUBS VERB NUM CONJ VERB NUM CONJ VERB ART SUBS CONJ ADV INT
maquineta está cobrando NUMBER vezes a mim e ao cliente,SUBS VERB VERB NUM SUBS ART PRON CONJ PREP SUBS
fica pronto na terça pela manhã ?,VERB ADJ PREP SUBS PREP SUBS PON
não estou conseguindo imprimir a fatura,ADV VERB VERB VERB ART SUBS
a máquina e gratuita ?,ART SUBS CONJ ADJ PON
NUMBER e o número do sinistro NUMBER,NUM CONJ ART SUBS PREP ADJ NUM
passei um cartão em minha maquina e não apareceu no aplicativo,VERB ART SUBS PREP PRON SUBS CONJ ADV VERB PREP SUBS
ótimo desconto e rapidez .,INT SUBS CONJ SUBS PON
não tenho comprovante de endereço no nome da empresa,ADV VERB SUBS PREP SUBS PREP SUBS PREP SUBS
já fiz o pagamento no boleto,ADV VERB ART SUBS PREP SUBS
o telefone NUMBER não funciona mais ?,ART SUBS NUM ADV VERB ADV PON
posso comprar com o cartão de crédito,VERB VERB PREP ART SUBS PREP SUBS
hoje fui fazer outra transferência não constava o NUMBER e sim somente NUMBER,ADV VERB VERB PRON SUBS ADV VERB ART NUM CONJ INT ADV NUM
"em relação ao cartão de crédito , meu limite é de duzentos . consigo ?",PREP SUBS PREP SUBS PREP SUBS PON PRON VERB VERB PREP NUM PON VERB PON
não estou conseguindo gerar o boleto,ADV VERB VERB VERB ART SUBS
vianópolis - goias cep NUMBER,SUBS SIMB SUBS SUBS NUM
não consigo visualizar o arquivo . . . pede senha,ADV VERB VERB ART SUBS PON PON PON VERB SUBS
já fiz a solicitação NUMBER vezes .,ADV VERB ART SUBS NUM SUBS PON
o valor do contrato é de NUMBER meses ? valor fixo ?,ART SUBS PREP SUBS VERB PREP NUM SUBS PON SUBS ADJ PON
solicito por gentileza NUMBER via das parcelas restantes,VERB PREP SUBS NUM SUBS PREP SUBS ADJ
já pedi . . . passou da data de receber,ADV VERB PON PON PON VERB PREP SUBS PREP VERB
tenho um veículo no valor de NUMBER,VERB ART SUBS PREP SUBS PREP NUM
eu pedi em em MEASURE,PRON VERB PREP PREP SUBS
eu conseguiria pagar por NUMBER,PRON VERB VERB PREP NUM
valor de NUMBER em NUMBER vezes,SUBS PREP NUM PREP NUM SUBS
qual o telefone da loja do shopping dom pedro ?,INT ART SUBS PREP SUBS PREP SUBS SUBS SUBS PON
tá aí sim vai inserir meu código .,INT ADV INT VERB VERB PRON SUBS PON
qual agência minha cidade tem umas NUMBER,INT SUBS PRON SUBS VERB ART NUM
eu gostaria de obter o código de barra da fatura com vencimento mês NUMBER,PRON VERB PREP VERB ART SUBS PREP SUBS PREP SUBS PREP SUBS SUBS NUM
. genildo luiz alves EMAIL . com,PON SUBS SUBS SUBS SUBS PON PREP
email EMAIL tel DDD NUMBER NUMBER cpf NUMBER,SUBS SUBS SUBS SUBS NUM NUM SUBS NUM
você não pode fazer pra o dia NUMBER de setembro não,PRON ADV VERB VERB PREP ART SUBS NUM PREP SUBS ADV
"e telefone fixo , mas o fixo não está funcionando",CONJ SUBS ADJ PON CONJ ART ADJ ADV VERB VERB
isso começou desde ontem a noite,PRON VERB PREP ADV ART SUBS
eu gostaria de estar pagando uma parcela hoje,PRON VERB PREP VERB VERB ART SUBS ADV
absurdo estou com a internet reduzida,ADJ VERB PREP ART SUBS ADJ
"quero o controle MEASURE , pagamento por boleto",VERB ART SUBS SUBS PON SUBS PREP SUBS
o porque cartão de crédito ?,ART CONJ SUBS PREP SUBS PON
boleto vence hoje dia NUMBER gostaria de poder pagar ele dia NUMBER,SUBS VERB ADV SUBS NUM VERB PREP VERB VERB PRON SUBS NUM
a prestação de março será paga em DATE,ART SUBS PREP SUBS VERB VERB PREP SUBS
não consigo finalizar a contratação do empréstimo .,ADV VERB VERB ART VERB PREP SUBS PON
não há mais qualquer movimentação,ADV VERB ADV PRON SUBS
gostaria de ver descontos em aparelhos,VERB PREP VERB SUBS PREP SUBS
já assinei o contrato !,ADV VERB ART SUBS PON
teve algum problema ? email diz pedido pendente . ? ? ?,VERB PRON SUBS PON SUBS VERB SUBS ADJ PON PON PON PON
"essa ligação foi agora , estou falando de ligações , durante o dia",PRON SUBS VERB ADV PON VERB VERB PREP SUBS PON PREP ART SUBS
na verdade NUMBER e melhorar o preço,PREP SUBS NUM CONJ VERB ART SUBS
esse número me passaram . . .,PRON SUBS PRON VERB PON PON PON
pagamento dia NUMBER e vale dia NUMBER,SUBS SUBS NUM CONJ SUBS SUBS NUM
"pode mandar pra mim com a data de hoje , o boleto ?",VERB VERB PREP PRON PREP ART SUBS PREP ADV PON ART SUBS PON
estou com quase NUMBER dias sem carro,VERB PREP ADV NUM SUBS PREP SUBS
bom dia ! gostaria de um atendimento !,ADJ SUBS PON VERB PREP ART SUBS PON
"gostaria da posição atualizada do meu pedido PHONE , pois a última é do dia DATE",VERB PREP SUBS VERB PREP PRON SUBS SUBS PON CONJ ART VERB VERB PREP SUBS SUBS
qual o valor mensal fixo ?,INT ART SUBS ADJ ADJ PON
bom dia vai mandar o o boleto,ADJ SUBS VERB VERB ART ART SUBS
do contrato não me lembro,PREP SUBS ADV PRON VERB
eu fiz essas NUMBER comprar,PRON VERB PRON NUM VERB
minha fatura está com valor NUMBER,PRON SUBS VERB PREP SUBS NUM
mais na conta net combo ?,ADV PREP VERB SUBS SUBS PON
vai ser feita alguma cobrança no meu cartão ?,VERB VERB ADJ PRON SUBS PREP PRON SUBS PON
fone NUMBER PHONE ou NUMBER PHONE,SUBS NUM SUBS CONJ NUM SUBS
estava falando com ele de uma outra conta,VERB VERB PREP PRON PREP ART PRON VERB
eu quero receber uns NUMBER boletos por email,PRON VERB VERB ART NUM SUBS PREP SUBS
"controle NUMBER , NUMBER com fatura",SUBS NUM PON NUM PREP SUBS
"não aparelho de banda larga , roteador ?",ADV SUBS PREP SUBS ADJ PON SUBS PON
mas estava na tela DATE,CONJ VERB PREP SUBS SUBS
"pela informações das faturas o valor de NUMBER foi debitado do meu cartão de crédito , confirma ?",PREP SUBS PREP SUBS ART SUBS PREP NUM VERB VERB PREP PRON SUBS PREP SUBS PON VERB PON
isso com o pagamento na maquininha ?,PRON PREP ART SUBS PREP SUBS PON
não quero pagar o seguro de financiamento de NUMBER,ADV VERB VERB ART ADJ PREP SUBS PREP NUM
e já passou o prazo de NUMBER horas,CONJ ADV VERB ART SUBS PREP NUM SUBS
tem um campo específico no app ?,VERB ART SUBS ADJ PREP SUBS PON
cpf . NUMBER . não cliente . NUMBER,SUBS PON NUM PON ADV SUBS PON NUM
seria possível uma parcela no cartão de crédito e as demais no boleto ?,VERB ADJ ART SUBS PREP SUBS PREP SUBS CONJ ART ADV PREP SUBS PON
bom dia ! deixa eu adiantar o assunto .,ADJ SUBS PON VERB PRON VERB ART SUBS PON
"meu problema é em me registrar , na parte de finalizar o registro",PRON SUBS VERB PREP PRON VERB PON PREP VERB PREP VERB ART SUBS
inclusive mandei duas porque NUMBER a página saiu cortada,SUBS VERB NUM CONJ NUM ART SUBS VERB ADJ
qualquer um NUMBER com ar e vidro elétrico,PRON ART NUM PREP SUBS CONJ SUBS ADJ
"lucas , ontem uma cliente minha tentou fazer um pagamento através do link e foi cancelado pela pagseguro o pagamento dela .",SUBS PON ADV ART SUBS PRON VERB VERB ART SUBS ADV PREP SUBS CONJ VERB VERB PREP SUBS ART SUBS PREP PON
vocês precisam do contrato completo ?,PRON VERB PREP SUBS ADJ PON
entrada a partir de NUMBER,SUBS ART VERB PREP NUM
existe outro tipo de minizinha ?,VERB PRON SUBS PREP SUBS PON
e em seguida me ligaram,CONJ PREP ADJ PRON VERB
entro em contato outro dia,VERB PREP SUBS PRON SUBS
o rastreamento da minha mercadoria não está atualizado .,ART SUBS PREP PRON SUBS ADV VERB VERB PON
"rio de janeiro , petrópolis",SUBS PREP SUBS PON SUBS
eu já paguei NUMBER parcelas,PRON ADV VERB NUM SUBS
pois é vou lugar pela MEASURE,CONJ VERB VERB VERB PREP SUBS
não tenho cartão de crédito no meu nome !,ADV VERB SUBS PREP SUBS PREP PRON SUBS PON
já foi pago no caixa itau . antecipado . . .,ADV VERB VERB PREP SUBS SUBS PON ADJ PON PON PON
gostaria de cancelar a renovação automática da assinatura melhores fundos de investimento,VERB PREP VERB ART SUBS ADJ PREP SUBS ADJ ADJ PREP SUBS
em seguida você também pode resolver a situação da máquina também,PREP ADJ PRON ADV VERB VERB ART SUBS PREP SUBS ADV
fiz NUMBER vezes de NUMBER primeira parcela DATE,VERB NUM SUBS PREP NUM ADJ SUBS SUBS
qual a data de pagamento da NUMBER parcela ?,INT ART SUBS PREP SUBS PREP NUM SUBS PON
por favor me responda ?,PREP SUBS PRON VERB PON
estou esperando o boleto !,VERB VERB ART SUBS PON
"bom dia , me chamo ari",ADJ SUBS PON PRON VERB SUBS
NUMBER NUMBER NUMBER NUMBER cpf número do pedido NUMBER,NUM NUM NUM NUM SUBS SUBS PREP SUBS NUM
bloco a - apartamento NUMBER,SUBS ART SIMB SUBS NUM
"das TIME às TIME , TIME às TIME",PREP SUBS PREP SUBS PON SUBS PREP SUBS
gostaria de mudar de pacote,VERB PREP VERB PREP SUBS
tirei . . . estou esperando ela ligar,VERB PON PON PON VERB VERB PRON VERB
estou aguardando ansiosa a resposta de vocês obrigada,VERB VERB ADJ ART SUBS PREP PRON ADJ
estou fazendo o cancelamento da minha reserva do dia DATE,VERB VERB ART SUBS PREP PRON SUBS PREP SUBS SUBS
e já tentei pagar na minha conta e não consigo !,CONJ ADV VERB VERB PREP PRON VERB CONJ ADV VERB PON
pode ser NUMBER e NUMBER,VERB VERB NUM CONJ NUM
estou tentando desde TIME horas de hoje,VERB VERB PREP SUBS SUBS PREP ADV
"bom dia , tem alguém ?",ADJ SUBS PON VERB PRON PON
qual é o valor por bagagem ?,INT VERB ART SUBS PREP SUBS PON
não está aceitando mudar o meu endereço,ADV VERB VERB VERB ART PRON SUBS
eu não quero conversar com você CODE eleições eu quero conversar com a minha google assistente vai embora,PRON ADV VERB VERB PREP PRON SUBS SUBS PRON VERB VERB PREP ART PRON SUBS ADJ VERB SUBS
já deu baixa na minha dívida,ADV VERB ADJ PREP PRON SUBS
já está liberada a internet ?,ADV VERB ADJ ART SUBS PON
"número não localizado , mas eu recebi",SUBS ADV VERB PON CONJ PRON VERB
posso cancelar o pedido ? ? o prazo já expirou !,VERB VERB ART SUBS PON PON ART SUBS ADV VERB PON
ana raimunda da costa souza,SUBS SUBS PREP SUBS SUBS
maio em junho junho em julho julho em agosto,SUBS PREP SUBS SUBS PREP SUBS SUBS PREP SUBS
o valor da diária fico NUMBER,ART SUBS PREP ADJ VERB NUM
"olá , estou fazendo apenas um teste",INT PON VERB VERB ADV ART SUBS
NUMBER quero um mais encontra,NUM VERB ART ADV VERB
e conta outro com problema,CONJ VERB PRON PREP SUBS
tem algum mais barato ? !,VERB PRON ADV ADJ PON PON
quero adquiri um rio card mais,VERB VERB ART SUBS SUBS ADV
tem custo isso ? ?,VERB SUBS PRON PON PON
telefone NUMBER PHONE e e-mail EMAIL,SUBS NUM SUBS CONJ SUBS SUBS
NUMBER dias sem depósito ou saldo ela e cancelada,NUM SUBS PREP SUBS CONJ SUBS PRON CONJ VERB
horrivel o sistema de vocês,ADJ ART SUBS PREP PRON
qual será o próximo vencimento da fatura ?,INT VERB ART ADJ SUBS PREP SUBS PON
esqueci o telefone em casa,VERB ART SUBS PREP VERB
eu tenho NUMBER faturas abertas,PRON VERB NUM SUBS ADJ
"isso , vencimentos DATE , DATE e DATE",PRON PON SUBS SUBS PON SUBS CONJ SUBS
e não mostra os descontos,CONJ ADV VERB ART SUBS
procuro por qualquer pessoa ?,VERB PREP PRON SUBS PON
gostaria de ter acesso aos boletos do carro,VERB PREP VERB VERB PREP SUBS PREP SUBS
confere pra mim por favor ! ! !,VERB PREP PRON PREP SUBS PON PON PON
bom dia ! meu nome é vania e gostaria de marcar uns exames .,ADJ SUBS PON PRON SUBS VERB SUBS CONJ VERB PREP VERB ART SUBS PON
tá pronto já meu cartão ?,INT ADJ ADV PRON SUBS PON
esse mês já vence a NUMBER,PRON SUBS ADV VERB ART NUM
a ativação da minha conta foi realizada,ART SUBS PREP PRON VERB VERB ADJ
mais opções de menu .,ADV SUBS PREP SUBS PON
no qual valor séria do cartão de crédito ?,PREP INT SUBS ADJ PREP SUBS PREP SUBS PON
não trabalham com calção ?,ADV VERB PREP SUBS PON
